EVTDESCDUEL2;Вы и [combatant_1.GetTitledFirstName] медленно обходите друг друга по кругу, напряженно и сосредоточенно. Вы оцениваете [combatant_1.GetHerHis], выявляя любую слабость, любую щель в защите, которой вы могли бы воспользоваться.;x;;;
EVTDESCDUEL2BATTLE;В разгаре битвы вы и [combatant_1.GetTitledFirstName] кружите друг с другом, напряженно и сосредоточенно. Все сражение вокруг вас, кажется, замедлилось, пока вы оцениваете [combatant_1.GetHerHis] для выявления слабостей, и щелей в обороне, которые вы могли бы использовать.;x;;;
EVTDESCDUEL2FINGERDANCE;Вы и [combatant_1.GetTitledFirstName] сталкиваетесь в поединке с топориками в руках, готовые бросить оружие друг в друга. Вы целитесь и готовите бросок...;x;;;
EVTDESCDUEL2TRIALBYCOMBAT;Двор внимательно смотрит, как вы и [combatant_1.GetTitledFirstName] сходитесь в поединке. Вы оцениваете [combatant_1.GetHerHis], выявляя любую слабость, любую щель в защите, которой вы могли бы воспользоваться.;x;;;
EVTDESCDUEL2WOUNDED;[combatant_1.GetTitledFirstName] перед вами, и [combatant_1.GetSheHe] понимает, что вы страдаете от раны. [combatant_1.GetSheHeCap] смотрит на вас, отыскивая любой признак слабости, но вы твердо стоите, готовясь встретить [combatant_1.GetHerHis].;x;;;
EVTDESCDUEL2MAIMED;Серьезная рана сильно мешает вам, поэтому вы меняете дуэльную позу. [combatant_1.GetTitledFirstName], кажется, уверен[combatant_1.GetEndA] в себе, но вы крепко стоите, независимо от этого, и готовы воспользоваться любой [combatant_1.GetHerHis] брешью в обороне, какую только увидите.;x;;;
EVTDESCDUEL2ILL;Вы не в лучшем состоянии, чтобы сражаться, и [combatant_1.GetTitledFirstName], похоже, радуется вашему недугу. Вы смело встаете в позицию и готовы встретить [combatant_1.GetHerHis], независимо от своего самочувствия, и проверить [combatant_1.GetHerHis] защиту.;x;;;
EVTDESCDUEL2YOUNG;Ваше оружие тяжело для ваших молодых рук, ваша броня громоздка. Однако, Вы и [combatant_1.GetTitledFirstName] готовы сойтись в бою. Медленно кружась вокруг н[combatant_1.GetHerHis], Вы ищите возможность нанести удар.;x;;;
EVTDESCDUEL2WOUNDEDOPP;Когда [combatant_1.GetTitledFirstName] предстал[combatant_1.GetEndA] перед вами, вы понимаете, что [combatant_1.GetSheHe] борется с раной. Вы оцениваете [combatant_1.GetHerHis], отыскивая любые признаки слабости, но [combatant_1.GetSheHe] твердо стоит и готов[combatant_1.GetEndA] вас встретить.;x;;;
EVTDESCDUEL2MAIMEDOPP;[combatant_1.GetTitledFirstName] страдает от тяжелой раны, которая затрудняет [combatant_1.GetHerHis] движения, вы перехватываете инициативу в дуэли. Вы чувствуете себя более уверенно, но [combatant_1.GetSheHe] твердо стоит на земле и готов[combatant_1.GetEndA] воспользоваться любой щелью в вашей защите, которую [combatant_1.GetSheHe] только сможет отыскать.;x;;;
EVTDESCDUEL2ILLOPP;[combatant_1.GetTitledFirstName] находится не в лучшем состоянии, чтобы сражаться, и поэтому вы радуетесь [combatant_1.GetHerHis] болезни. [combatant_1.GetSheHeCap] храбро встает в позицию, независимо от состояния, и вы готовитесь проверить [combatant_1.GetHerHis] защиту.;x;;;
EVTDESCDUEL2YOUNGOPP;[combatant_1.GetTitledFirstName] явно ощущает тяжесть оружия в своих молодых руках, [combatant_1.GetHerHis] броня также громоздка и велика для тела. Тем не менее, [combatant_1.GetSheHe] готов встретиться с вами в поединке, медленно кружась и оценивая возможность для удара.;x;;;
EVTOPTADUEL2;Одна ошибка и [combatant_1.GetSheHe] получит...;x;;;
EVTOPTADUEL2B;Это не закончится, пока [Root.GetDuelWinningConditions]...;x;;;
EVTOPTADUEL2TRIALBYCOMBAT;[Root.Religion.GetHighGodNameCap] поможет мне...;x;;;
EVTOPTADUEL2WOUNDED;Эта рана не остановит меня...;x;;;
EVTOPTADUEL2MAIMED;Даже с моей раной удар будет резким...;x;;;
EVTOPTADUEL2WOUNDEDOPP;Я буду стремиться попасть по [combatant_1.GetHerHis] ране...;x;;;
EVTOPTADUEL2YOUNGOPP;Я не могу не пропустить удар этого юнца...;x;;;
EVTOPTBDUEL2;[combatant_1.GetSheHeCap] не соответствует моей силе...;x;;;
EVTOPTBDUEL2TRIALBYCOMBAT;Моя вера в [Root.Religion.GetHighGodNameCap] придает мне сил...;x;;;
EVTOPTBDUEL2WOUNDED;Жалкая царапина не остановит меня...;x;;;
EVTOPTBDUEL2MAIMED;Я сильнее, чем эта рана! [combatant_1.GetTitledFirstName] будет страдать...;x;;;
EVTOPTBDUEL2WOUNDEDOPP;[combatant_1.GetHerHisCap] раны делают его немощным и жалким...;x;;;
EVTOPTBDUEL2YOUNGOPP;Этот тщедушный сопляк мне не ровня...;x;;;
EVTOPTCDUEL2;[combatant_1.GetSheHeCap] даже прикоснуться ко мне не успеет...;x;;;
EVTOPTCDUEL2TRIALBYCOMBAT;Моя воля сильна и [Root.Religion.GetHighGodNameCap] защищает меня...;x;;;
EVTOPTCDUEL2WOUNDED;Хоть я и ранен[combatant_1.GetEndA], [combatant_1.GetSheHe] не достанет меня снова...;x;;;
EVTOPTCDUEL2MAIMED;Моя рана не остановит удара...;x;;;
EVTOPTCDUEL2WOUNDEDOPP;С [combatant_1.GetHerHis] раной [combatant_1.GetSheHe] не ровня мне...;x;;;
EVTOPTCDUEL2YOUNGOPP;Едва ли эт[combatant_1.GetEtaEtot] [combatant_1.GetLadLass] сможет меня поцарапать...;x;;;
TOOLTIPduel_tactic_speed;Вы нападаете в быстром порыве\n;x;;;
TOOLTIPduel_tactic_force;Вы берете силой\n;x;;;
TOOLTIPduel_tactic_defense;Вы обороняетесь\n;x;;;
EVTDESCDUEL3;Вы и [combatant_2.GetTitledFirstName] медленно обходите друг друга по кругу, напряженно и сосредоточенно. Вы оцениваете [combatant_2.GetHerHis], выявляя любую слабость, любую щель в защите, которой вы могли бы воспользоваться.;x;;;
EVTDESCDUEL3FINGERDANCE;Вы и [combatant_2.GetTitledFirstName] сталкиваетесь в поединке с топориками в руках, готовые бросить оружие друг в друга. Вы целитесь и готовите бросок.;x;;;
EVTDESCDUEL3BATTLE;В разгаре битвы вы и [combatant_2.GetTitledFirstName] кружите друг с другом, напряженно и сосредоточенно. Все сражение вокруг вас, кажется, замедлилось, пока вы оцениваете [combatant_2.GetHerHis] для выявления слабостей и щелей в обороне, которые вы могли бы использовать.;x;;;
EVTDESCDUEL3TRIALBYCOMBAT;Двор внимательно смотрит как вы и [combatant_2.GetTitledFirstName] сходитесь в поединке. Вы оцениваете [combatant_2.GetHerHis], выявляя любую слабость, любую щель в [combatant_2.GetHerHis] защите, которой вы могли бы воспользоваться.;x;;;
EVTDESCDUEL3WOUNDED;[combatant_2.GetTitledFirstName] перед вами, и [combatant_2.GetSheHe] понимает, что вы страдаете от раны. [combatant_2.GetSheHeCap] смотрит на вас, отыскивая любой признак слабости, но вы твердо стоите, готовясь встретить [combatant_2.GetHerHis].;x;;;
EVTDESCDUEL3MAIMED;Серьезная рана сильно затрудняет вас, поэтому вы меняете дуэльную позу. [combatant_2.GetTitledFirstName], кажется, уверен в себе, но вы крепко стоите, независимо от этого, и готовы воспользоваться любой [combatant_2.GetHerHis] брешью в обороне, какую только увидите.;x;;;
EVTDESCDUEL3ILL;Вы не в лучшем состоянии, чтобы сражаться и [combatant_2.GetTitledFirstName], похоже, радуется вашему недугу. Вы смело встаете в позицию и готовы встретить [combatant_2.GetHerHis] независимо от своего самочувствия, и проверить [combatant_2.GetHerHis] защиту.;x;;;
EVTDESCDUEL3YOUNG;Ваше оружие тяжело для ваших молодых рук, ваша броня громоздка. Однако, Вы и [combatant_2.GetTitledFirstName] готовы сойтись в бою. Медленно кружась вокруг н[combatant_2.GetHerHis], вы ищите возможность нанести удар.;x;;;
EVTDESCDUEL3WOUNDEDOPP;Поскольку [combatant_2.GetTitledFirstName] стоит перед вами, вы понимаете, что [combatant_2.GetSheHe] борется с раной. Вы оцениваете [combatant_2.GetHerHis], отыскивая любые признаки слабости, но [combatant_2.GetSheHe] твердо стоит, готовясь вас встретить.;x;;;
EVTDESCDUEL3MAIMEDOPP;[combatant_2.GetTitledFirstName] страдает от тяжелой раны, которая затрудняет [combatant_2.GetHerHis] движения, вы перехватываете инициативу в дуэли с ним. Вы чувствуете себя более уверенно, но [combatant_2.GetSheHe] твердо стоит на земле и готов воспользоваться любой щелью в вашей защите, которую [combatant_2.GetSheHe] только сможет отыскать.;x;;;
EVTDESCDUEL3ILLOPP;[combatant_2.GetTitledFirstName] находится не в лучшем состоянии, чтобы сражаться, и поэтому вы радуетесь [combatant_2.GetHerHis] болезни. [combatant_2.GetSheHeCap] храбро встает в позицию, независимо от состояния, и вы готовитесь проверить [combatant_2.GetHerHis] защиту.;x;;;
EVTDESCDUEL3YOUNGOPP;[combatant_2.GetTitledFirstName] явно ощущает тяжесть оружия в [combatant_2.GetHerHis] молодых руках, [combatant_2.GetHerHis] броня также громоздка и велика для [combatant_2.GetHerHis] тела. Тем не менее, [combatant_2.GetSheHe] готов встретиться с вами в поединке, медленно кружась, и оценивая возможность для удара.;x;;;
EVTOPTADUEL3;Одна ошибка и [combatant_1.GetSheHe] получит...;x;;;
EVTOPTADUEL3TRIALBYCOMBAT;[Root.Religion.GetHighGodNameCap] поможет мне...;x;;;
EVTOPTADUEL3WOUNDED;Эта рана не остановит меня...;x;;;
EVTOPTADUEL3MAIMED;Даже с моей раной мой удар будет резким...;x;;;
EVTOPTADUEL3WOUNDEDOPP;Я буду стремиться к [combatant_1.GetHerHis] ране...;x;;;
EVTOPTADUEL3YOUNGOPP;Я не могу не пропустить удар этого юнца...;x;;;
EVTOPTBDUEL3;[combatant_1.GetSheHeCap] не соответствует моей силе...;x;;;
EVTOPTBDUEL3TRIALBYCOMBAT;Моя вера в [Root.Religion.GetHighGodNameCap] придает мне сил...;x;;;
EVTOPTBDUEL3WOUNDED;Жалкая царапина не остановит меня...;x;;;
EVTOPTBDUEL3MAIMED;Я сильнее, чем эта рана! [combatant_1.GetTitledFirstName] будет страдать...;x;;;
EVTOPTBDUEL3WOUNDEDOPP;[combatant_1.GetHerHisCap] раны делают его немощным и жалким...;x;;;
EVTOPTBDUEL3YOUNGOPP;Этот тщедушный сопляк мне не ровня...;x;;;
EVTOPTCDUEL3;[combatant_1.GetSheHeCap] даже не успел прикоснуться ко мне...;x;;;
EVTOPTCDUEL3TRIALBYCOMBAT;Моя воля сильна и [Root.Religion.GetHighGodNameCap] защищает меня...;x;;;
EVTOPTCDUEL3WOUNDED;Даже ранив меня, [combatant_1.GetSheHe] не сможет этого повторить...;x;;;
EVTOPTCDUEL3MAIMED;Моя рана не остановит удара...;x;;;
EVTOPTCDUEL3WOUNDEDOPP;С [combatant_1.GetHerHis] раной [combatant_1.GetSheHe] не ровня мне...;x;;;
EVTOPTCDUEL3YOUNGOPP;Я едва поцарапал этого молодого сопляка...;x;;;
EVTDESCDUEL5;Хоть [duel_round_loser.GetTitledFirstName] и хорош в бою, Вы видите слабое место, уязвимость в защите. Это немного, но это все, что вам нужно.;x;;;
EVTDESCDUEL5FINGERDANCEA;Вам удается [Root.GetClumsilyElegantly] перепрыгнуть через топорик персонажа [duel_round_loser.GetTitledFirstName], что делает [duel_round_loser.GetHerHis] уязвимым для вашего собственного броска...;x;;;
EVTDESCDUEL5FINGERDANCEB;Толпа гулом удобряет, когда вы [Root.GetClumsilyElegantly] ловите топорик персонажа [duel_round_loser.GetTitledFirstName] оставляя [duel_round_loser.GetHerHis] уязвимым для вашего броска...;x;;;
EVTDESCDUEL5SKILL;Ваш опыт в бою и мастерство позволяют обнаружить брешь в защите персонажа [duel_round_loser.GetTitledFirstName]. Это немного, но это все, что вам нужно.;x;;;
EVTDESCDUEL5SWORD;Удар, который нанёс [duel_round_loser.GetTitledFirstName] Вы парировали рукоятью своего меча, уводя вниз меч [Root.GetValyrianSwordOwned] и позволяя вскрыть [duel_round_loser.GetHerHis] защиту.;x;;;
EVTDESCDUEL5STRONG;[duel_round_loser.GetTitledFirstName] ошеломлен необычайно сильным ударом, направленным по [duel_round_loser.GetHerHis] телу. [duel_round_loser.GetSheHeCap] пошатывается, что дает вам возможность нанести удар.;x;;;
EVTDESCDUEL5QUICK;Кажется, что движения поединка замедляются для вас, но ваш ум обрабатывает все в ускоренном режиме, позволяя предугадывать движения персонажа [duel_round_loser.GetTitledFirstName]. После ловкого парирования вы увидели возможность нанести удар.;x;;;
EVTDESCDUEL5WROTH;Вы проводите бешеную и яростную атаку на пепсонажа [duel_round_loser.GetTitledFirstName], сразу заставив [duel_round_loser.GetHerHis] пятиться. [duel_round_loser.GetSheHeCap] в панике отбивается, что позволяет вам вскрыть защиту.;x;;;
EVTDESCDUEL5PATIENT;[duel_round_loser.GetTitledFirstName] берёт инициативу, как Вы и задумывали, терпеливо парируя [duel_round_loser.GetHerHis] выпады. Вы ждете, пока [duel_round_loser.GetSheHe] не выдохнется и не устанет, неизменно проявив брешь в своей обороне.;x;;;
EVTDESCDUEL5DECEITFUL;[duel_round_loser.GetTitledFirstName] сражается честно, но вы используете подлые уловки в желании получить преимущество. Хитрыми и коварными действиями вы пытаетесь заставить ошибиться и нанести удар.;x;;;
EVTDESCDUEL5TALL;Вы используете длинный меч для удержания противника на расстоянии, [duel_round_loser.GetTitledFirstName] не может даже подойти к вам, чтобы сделать выпад. В конце концов, вы замечаете [duel_round_loser.GetHerHis] слабое место и замахиваетесь своим оружием с большой высоты.;x;;;
EVTDESCDUEL5RHLLOR;Вы и [duel_round_loser.GetTitledFirstName] срадаетесь, Вам приходиться обороняться, и Вы чувствуете, будто сам Владыка Света направляет ваши движения. [duel_round_loser.GetSheHeCap], похоже, не закрывается, и в конце концов вы обнаруживаете слабые места в [duel_round_loser.GetHerHis] защите.;x;;;
EVTOPTADUEL5;Удар!;x;;;
EVTOPTADUEL5A;Я быстро уклоняюсь от [duel_round_loser.GetHerHis] силовой атаки!;x;;;
EVTOPTADUEL5B;Я медленно, но верно сокрушаю [duel_round_loser.GetHerHis] оборону!;x;;;
EVTOPTADUEL5C;Я уворачиваюсь от [duel_round_loser.GetHerHis] быстрых ударов!;x;;;
EVTTOOLTIPDUEL6;пытается защитить себя!;x;;;
EVTDESCDUEL6;Когда вы и [duel_round_winner.GetTitledFirstName] расходитесь, то вы приоткрываете свою оборону. [duel_round_winner.GetTitledFirstName] пытается использовать это преимущество.;x;;;
EVTDESCDUEL6FINGERDANCEA;[duel_round_winner.GetTitledFirstName] умудряется [duel_round_winner.GetClumsilyElegantly] перепрыгнуть через ваш летящий топор и приземляется, готовый бросить свой в вас...;x;;;
EVTDESCDUEL6FINGERDANCEB;Толпа загудела в знак одобрения, когда [duel_round_winner.GetTitledFirstName] [Root.GetClumsilyElegantly] ловит топор, который вы бросаете в н[duel_round_winner.GetHerHis], очередь метать перешла к н[duel_round_winner.GetHerHim]...;x;;;
EVTDESCDUEL6SKILL;Когда вы и [duel_round_winner.GetTitledFirstName] сходитесь, вы оступаетесь и приоткрываете защиту. Опытный воин, такой как [duel_round_winner.GetTitledFirstName], конечно же это увидит.;x;;;
EVTDESCDUEL6SWORD;[duel_round_winner.GetTitledFirstName] парирует один из ваших ударов рукоятью своего меча, позволив [duel_round_winner.GetHerHim] ударить снизу по просвету в вашей защите.;x;;;
EVTDESCDUEL6STRONG;[duel_round_winner.GetTitledFirstName] ужасающе силён, Вы ошеломлены. Когда [duel_round_winner.GetSheHe] нанес сильный удар. Вы пошатываетесь, открываясь для его выпадов.;x;;;
EVTDESCDUEL6QUICK;[duel_round_winner.GetTitledFirstName], кажется, предвидит каждое ваше движение, ловко парируя каждый выпад. [duel_round_winner.GetSheHeCap] быстро замечает слабое место в вашей защите и направляет туда удар.;x;;;
EVTDESCDUEL6WROTH;Перед тем как у вас появился шанс обнаружить слабое место, [duel_round_winner.GetTitledFirstName] начинает яростную и неистовую атаку! Вы паникуете и начинаете отступать под градом ударов.;x;;;
EVTDESCDUEL6PATIENT;[duel_round_winner.GetTitledFirstName] позволяет вам проявить инициативу, терпеливо отбивая удары и сохраняя свою стойку. Вы устаете, оставляя щели в защите. Тогда [duel_round_winner.GetSheHe] наносит удар.;x;;;
EVTDESCDUEL6DECEITFUL;Вы честно сражаетесь, но [duel_round_winner.GetTitledFirstName] использует свой арсенал грязных приёмчиков. [duel_round_winner.GetSheHeCap] будет атаковать ударами исподтишка и хитрыми выпадами, пока не увидит возможность нанести удар.;x;;;
EVTDESCDUEL6TALL;[duel_round_winner.GetTitledFirstName] использует большой радиус действия своего меча, а вы не можете даже подобраться поближе, чтобы ударить. В конце концов, [duel_round_winner.GetSheHe] видит слабое место и обрушивает оружие вниз на вас.;x;;;
EVTDESCDUEL6RHLLOR;Вы и [duel_round_winner.GetTitledFirstName] в бою, и Вам приходится обороняться, Вы чувствуете, будто [Root.Religion.GetHighGodName] защищает его. Вы не можете даже приблизиться, [duel_round_winner.GetSheHe] блокирует каждый ваш выпад до тех пор, пока [duel_round_winner.GetSheHe] не пробивается сквозь защиту.;x;;;
EVTOPTADUEL6;Защитить себя!;x;;;
EVTOPTADUEL6A;[duel_round_winner.GetSheHeCap] противостоит моей силовой атаке!;x;;;
EVTOPTADUEL6B;[duel_round_winner.GetSheHeCap] сильно нагружает мою оборону!;x;;;
EVTOPTADUEL6C;[duel_round_winner.GetSheHeCap] увернулся от моих быстрых атак!;x;;;
EVTDESCDUEL105;[duel_round_loser.GetTitledFirstName] ошибается в своей защите, Вы проламываете её и швыряете [duel_round_loser.GetHerHis] на землю. [duel_round_loser.GetSheHeCap] лежит у ваших ног, уповая на вашу милость.;x;;;
