#CODE;ENGLISH;x;;;;;;;;;;;;;;;
real_insult;Оскорблённ[_ый];x;;;;;;;;;;;;;;;
real_gift;Отправленный подарок;x;;;;;;;;;;;;;;;
opinion_protected_me;Защищал[_] меня от врага;x;;;;;;;;;;;;;;;
interaction_lover;Любовни[_к__];x;;;;;;;;;;;;;;;
EVTDESC70034;[From.GetTitle] [From.GetFirstNameWithDynasty] был[From.GetEndA] коронован[From.GetEndA] как победитель[From.GetEndNitsa] моего турнира.;x;;;;;;;;;;;;;;;
EVTDESCinteraction.2;Взаимодействие с основной целью (проигнорировать и нажать ок);x;;;;;;;;;;;;;;;
EVTDESCinteraction.3;Меню взаимодействия. Выберите категорию.;x;;;;;;;;;;;;;;;
EVTDESCinteraction.4;Персональное меню;x;;;;;;;;;;;;;;;
EVTDESCinteraction.6;Меню действий;x;;;;;;;;;;;;;;;
EVTDESCinteraction.23;[From.GetTitle] [From.GetFirstNameWithDynasty] отправил[From.GetEndA] вам подарок;x;;;;;;;;;;;;;;;
EVTDESCINSULT;[Root.GetTitle] [Root.GetFirstName], я презираю вас. Вы [GetFromRootInsult] идиот[Root.GetEndKa], и один ваш вид отталкивает меня.\n\nПодпись,\n[FromFrom.GetTitle] [FromFrom.GetFirstName] из Дома [FromFrom.GetOnlyDynastyName];x;;;;;;;;;;;;;;;
EVTOPTAinteraction.2;Ok;x;;;;;;;;;;;;;;;
EVTOPTAinteraction.3;Персональное;x;;;;;;;;;;;;;;;
EVTOPTDinteraction.3;Действие;x;;;;;;;;;;;;;;;
NEVERMIND;Не берите в голову;x;;;;;;;;;;;;;;;
EVTOPTAinteraction.4;Отправить подарок;x;;;;;;;;;;;;;;;
insult_character;Оскорбить;x;;;;;;;;;;;;;;;
insult_character_desc;Отправить оскорбительное письмо персонажу [Root.GetTitle] [Root.GetFirstNameWithDynasty] - это понизит [Root.GetHerHis] отношение к вам.;x;;;;;;;;;;;;;;;
EVTOPTAinteraction.23;Спасибо!;x;;;;;;;;;;;;;;;
EVTOPTAinteraction.24;Как [GetRootFromInsult] смеет так обращаться ко мне?;x;;;;;;;;;;;;;;;
EVTOPTB453;Это благородный поступок?;x;;;;;;;;;;;;;;;
visit_chambers;Посетить камеру;x;;;;;;;;;;;;;;;
visit_chambers_desc;Посетить камеру, где сидит [Root.GetTitledFirstNameWithDynasty]...;x;;;;;;;;;;;;;;;
TOOLTIPVISITCHAMBERCHILD;[Root.GetFirstName] НЕ является дедом, родителем, ребенком или внуком персонажа [From.GetTitle] [From.GetFirstName]\n;x;;;;;;;;;;;;;;;
TOOLTIPVISITCHAMBERDIVINEBLOOD;Династия [From.GetOnlyDynastyName] практикует кровосмешение\n;x;;;;;;;;;;;;;;;
TOOLTIPSEDUCELOCATION;[Root.GetFirstName] находится в области [From.Location.GetName], И [From.Location.GetName] владеет титулом [From.GetFirstName] или [Root.GetFirstName] ИЛИ [From.GetFirstName] НЕ командует\n;x;;;;;;;;;;;;;;;
TOOLTIPVISITCOMMANDLOCATION;[From.Location.GetName] владеет титулом [From.GetFirstName] или [Root.GetFirstName]\n;x;;;;;;;;;;;;;;;
TOOLTIPVISITCHAMBERORIENTATION;[Root.GetFirstName] желателен для сексуальной ориентации персонажа [From.GetFirstName]\n;x;;;;;;;;;;;;;;;
TOOLTIPVISITCHAMBERPRISONER;Если [Root.GetFirstName] является заключенн[Root.GetOyYm] персонажа [From.GetFirstName], [From.GetFirstName] НЕ долж[From.GetNaEn] быть добр[From.GetOyYm] или благородн[From.GetOyYm]\n;x;;;;;;;;;;;;;;;
TOOLTIPinteraction.26;[Root.GetTitledFirstNameNoRegnal] ответит на ваши попытки соблазнения;x;;;;;;;;;;;;;;;
TOOLTIPinteraction.26B;Вы прокладываете себе путь в комнату персонажа [Root.GetTitledFirstNameNoRegnal]...;x;;;;;;;;;;;;;;;
EVTDESCinteraction.26;Я просыпаюсь под звуки скрипа моей двери... это [visiting_chambers.GetTitledFirstNameNoRegnal]!;x;;;;;;;;;;;;;;;
knight_character;Даровать рыцарство;x;;;;;;;;;;;;;;;
knight_character_desc;Как помазанный рыцарь, вы имеете право предоставить персонажу [Root.GetTitle] [Root.GetFirstNameWithDynasty] рыцарство;x;;;;;;;;;;;;;;;
EVTDESCinteraction.22;Вас посвятил в рыцари [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty];x;;;;;;;;;;;;;;;
EVTOPTAinteraction.22;Спасибо!;x;;;;;;;;;;;;;;;
stand_down;Приказать закончить войну;x;;;;;;;;;;;;;;;
stand_down_desc;Отправить письмо персонажу [Root.GetTitle] [Root.GetFirstNameWithDynasty], приказав прекратить агрессивную войну против другого вашего знаменосца.;x;;;;;;;;;;;;;;;
TOOLTIPstand_downVOTEONGOING;Совет еще НЕ голосовал за приказ отступить;;;;;;;;;;;;;;;;x
TOOLTIPstand_downCOUNCIL;Совет персонажа [From.GetTitledFirstName] НЕ имеет права голоса в дипломатических вопросах\n;x;;;;;;;;;;;;;;;
TOOLTIPstand_downCOUNCILCOOLDOWN;Совет недавно НЕ голосовал за выдачу приказа персонажу [Root.GetTitledFirstName]\n;x;;;;;;;;;;;;;;;
TOOLTIPstand_downASKED;[Root.GetTitledFirstName] НЕ приказывал[Root.GetEndA] недавно\n;x;;;;;;;;;;;;;;;
TOOLTIPstand_downPRISONER;[Root.GetTitledFirstName] - пленни[Root.GetTsaK] персонажа [From.GetTitledFirstName]\n;x;;;;;;;;;;;;;;;
TOOLTIPstand_downVOTE;§YСовет§! будет голосовать за отдачу приказа персонажу [This.GetTitle] [This.GetFirstName]\n;x;;;;;;;;;;;;;;;
TOOLTIPPIinteraction.10;Из-за уровня власти государства [From.PrimaryTitle.GetName], этот приказ будет обязателен и законен. Это означает, что у вас будет возможность объявить персонажа [Root.GetTitle] [Root.GetFirstNameWithDynasty] врагом государства, если откажется.\n\n;x;;;;;;;;;;;;;;;
TOOLTIPPIinteraction.11;Из-за уровня власти государства [From.PrimaryTitle.GetName], эта команда НЕ обязательна и незаконна. Это означает, что [Root.GetTitle] [Root.GetFirstNameWithDynasty] может проигнорировать ваш приказ без каких-либо последствий.\n\n;x;;;;;;;;;;;;;;;
appoint_to_kingsguard;Назначить в Королевскую гвардию;x;;;;;;;;;;;;;;;
appoint_to_kingsguard_desc;Королевской гвардии требуется семь членов. Предложить освободившееся место человеку, известному как [Root.GetTitle] [Root.GetFirstNameWithDynasty].;x;;;;;;;;;;;;;;;
TOOLTIPkingsguardNEEDED;Место в Королевской гвардии вакантно\n;x;;;;;;;;;;;;;;;
TOOLTIPinteraction.7;ответит на ваше предложение;x;;;;;;;;;;;;;;;
grant_lp;Даровать [Root.PrimaryTitle.Kingdom.GetFullName];x;;;;;;;;;;;;;;;
grant_lp_desc;[Root.PrimaryTitle.Kingdom.GetFullName] в настоящее время отделено от Короны. [Root.GetTitledFirstNameWithDynasty] получит этот титул и станет повелителем региона.;x;;;;;;;;;;;;;;;
grant_lp_landless;Даровать Королевство;x;;;;;;;;;;;;;;;
grant_lp_landless_desc;[FromFrom.PrimaryTitle.Kingdom.GetFullName] в настоящее время не отделено от Короны. [Root.GetTitledFirstNameWithDynasty] получит этот титул и станет повелителем региона.;x;;;;;;;;;;;;;;;
EVTDESCinteraction.5;Меню дипломатии;x;;;;;;;;;;;;;;;
EVTOPTBinteraction.3;Дипломатия;x;;;;;;;;;;;;;;;
EVTDESCinteraction.10;[Root.GetTitle] [Root.GetFirstName], я приказываю вам сложить оружие и прекратить свои агрессивные войны. Если вы проигнорируете этот приказ от своего законного господина, у меня не останется выбора, кроме как объявить вас предателем и врагом государства.\n\nПодпись,\n[From.GetTitle] [From.GetFirstName] из Дома [From.GetOnlyDynastyName];x;;;;;;;;;;;;;;;
EVTDESCinteraction.10B;[Root.GetTitle] [Root.GetFirstName], от имени правителя [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal], регентский совет настоящим приказывает вам сложить оружие и прекратить агрессивные войны. Если вы проигнорируете этот приказ, у нас не будет выбора, кроме как объявить вас предателем и врагом королевства.\n\nПодпись,\n[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal], [From.GetLordLady]-регент [FromFrom.PrimaryTitle.GetName];x;;;;;;;;;;;;;;;
EVTOPTAinteraction.10;[From.PrimaryTitle.GetFOA], я сделаю что приказано;x;;;;;;;;;;;;;;;
EVTOPTBinteraction.10;Нет;x;;;;;;;;;;;;;;;
EVTDESCinteraction.14;[Root.PrimaryTitle.GetFOA], боюсь, я не могу закончить эту войну. Мое дело правое, и поэтому вы не имеете права приказывать мне остановиться. \n\nПодпись,\n[From.GetTitle] [From.GetFirstName] из Дома [From.GetOnlyDynastyName];x;;;;;;;;;;;;;;;
EVTOPTAinteraction.14;[From.GetSheHeCap] будет заклеймен[From.GetEndA] как изменни[From.GetTsaK];x;;;;;;;;;;;;;;;
EVTOPTBinteraction.14;Я арестую [From.GetHerHis] за измену;x;;;;;;;;;;;;;;;
EVTOPTDinteraction.14;Тогда право на [From.PrimaryTitle.GetName] получит кто-то ещё;x;;;;;;;;;;;;;;;
EVTTOOLTIPinteraction.14;Вы выбрали того, кому даруете право претендовать на эти земли;x;;;;;;;;;;;;;;;
EVTOPTCinteraction.14;Может быть, я позволю... только в этот раз.;x;;;;;;;;;;;;;;;
EVTDESC20800303;Ваш лорд, [From.GetTitle] [From.GetFirstNameWithDynasty], приказывает вам найти предателя среди вассалов. [From.GetHerHis] отказ будет рассматриваться как измена.;x;;;;;;;;;;;;;;;
EVTOPTA20800303;Справедливость восторжествует.;x;;;;;;;;;;;;;;;
EVTOPTB20800303;Я не подниму оружия против своих подданных!;x;;;;;;;;;;;;;;;
EVTDESC20800304;Ваш сюзерен, [From.GetTitle] [From.GetFirstNameWithDynasty], вмешивается, чтобы защитить вас от агрессии со стороны врага [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty].;x;;;;;;;;;;;;;;;
EVTDESC20800305;Ваш сюзерен, [From.GetTitle] [From.GetFirstNameWithDynasty], отказался выступить против вас, игнорируя приказ от правителя, известного как [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty].;x;;;;;;;;;;;;;;;
EVTDESC20800306;Ваш вассал [From.GetTitle] [From.GetFirstNameWithDynasty] отказался выполнить ваш приказ и выследить предателя.;x;;;;;;;;;;;;;;;
EVTOPTA20800306;Измена! Я раздавлю [From.GetHerHis] сам и сожгу город [From.Capital.GetName].;x;;;;;;;;;;;;;;;
EVTOPTA20800304;Спасибо вам, мой [From.GetTitle].;x;;;;;;;;;;;;;;;
TOOLTIPCBENFORCEDTRUCE;[Root.GetTitledFirstName] недавно НЕ объявлял[Root.GetEndA] перемирие с персонажем [From.GetTitledFirstName], своим сюзереном\n;x;;;;;;;;;;;;;;;
TOOLTIPCBENFORCEDTRUCEB;[Root.GetTitledFirstName] НЕ был[Root.GetEndA] вынужден[Root.GetEndA] объявить перемирие с персонажем [Root.Liege.GetTitledFirstName]\n;x;;;;;;;;;;;;;;;
EVTDESC20800307;Ваш сюзерен [From.GetTitle] [From.GetFirstNameWithDynasty] назвал[From.GetEndA] ваши действия изменой и требует вашей головы.;x;;;;;;;;;;;;;;;
EVTOPTA20800307;Созвать знамёна. Мы выступаем на город [From.Capital.GetName].;x;;;;;;;;;;;;;;;
CB_NAME_TRAITOR;Принести предателя правосудию;x;;;;;;;;;;;;;;;
WAR_NAME_TRAITOR;$ORDER$ $FIRST_ADJ$ наказать изменника против $SECOND$;x;;;;;;;;;;;;;;;
EVTOPTA20800999;Ok.;x;;;;;;;;;;;;;;;
EVTDESC20800999;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] вмешивается против персонажа [From.GetTitle] [From.GetFirstNameWithDynasty].;x;;;;;;;;;;;;;;;
EVTDESC20800998;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] пыта[FromFrom.GetLasLsya] вмешаться против персонажа [From.GetTitle] [From.GetFirstNameWithDynasty], но [From.GetTitle] [From.GetFirstNameWithDynasty] отказал[From.GetEndA].;x;;;;;;;;;;;;;;;
EVTDESCinteraction.15;Кто же должен иметь право претендовать на город [FromFrom.Capital.GetName], результат предательства персонажа [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty];x;;;;;;;;;;;;;;;
EVTOPTAinteraction.15;Подтвердить притязания на [FromFrom.PrimaryTitle.GetName] для соперника предателя;x;;;;;;;;;;;;;;;
EVTOPTBinteraction.15;Подтвердить притязания на [FromFrom.PrimaryTitle.GetName] для сюзерена предателя;x;;;;;;;;;;;;;;;
EVTOPTCinteraction.15;Подтвердить притязания на [FromFrom.PrimaryTitle.GetName] для себя;x;;;;;;;;;;;;;;;
EVTDESCinteraction.8;[Root.PrimaryTitle.GetFOA], я смиренно прошу вас вмешаться от моего имени против агрессии персонажа [stand_down_aggressor.GetTitledFirstNameNoRegnal] [stand_down_aggressor.GetOnlyDynastyName], котор[stand_down_aggressor.GetAyaYy] вторгается в мои земли, явно нарушая мир в государстве. Я был[From.GetEndA] бы бесконечно благодар[From.GetNaEn] за вашу поддержку в этом вопросе.\n\nВаш[From.GetEndA],\n[From.GetTitle] [From.GetFirstName] из Дома [From.GetOnlyDynastyName];x;;;;;;;;;;;;;;;
EVTOPTAinteraction.8;Я прикажу, чтобы [stand_down_aggressor.GetTitledFirstNameNoRegnal] прекратил[stand_down_aggressor.GetEndA];x;;;;;;;;;;;;;;;
EVTOPTAinteraction.8B;Совет голосует, я буду голосовать в пользу персонажа [From.GetTitle] [From.GetFirstName].;x;;;;;;;;;;;;;;;
EVTOPTAinteraction.8C;Регентский совет принимает решение по этому вопросу;x;;;;;;;;;;;;;;;
EVTOPTBinteraction.8;Какое мне дело?;x;;;;;;;;;;;;;;;
EVTOPTBinteraction.8B;Я буду голосовать против приказа персонажу [stand_down_aggressor.GetTitledFirstNameNoRegnal];x;;;;;;;;;;;;;;;
EVTDESCinteraction.12;[Root.GetTitle] [Root.GetFirstName], хоть я и сочувствую вашему положению, я решил[From.GetEndA], что не могу вмешиваться в эту войну. Я надеюсь, обе стороны урегулируют свои разногласия полюбовно.\n\nПодпись,\n[From.GetTitle] [From.GetFirstName] из Дома [From.GetOnlyDynastyName];x;;;;;;;;;;;;;;;
EVTOPTAinteraction.12;Полюбовно?! Бессмысленный ответ!;x;;;;;;;;;;;;;;;
EVTDESCinteraction.13;[Root.PrimaryTitle.GetFOA], я, конечно, повинуюсь вышей воле и закончу войну, как велено. Пожалуйста, возьмите это как знак моей вечной верности.\n\nПодпись,\n[From.GetTitle] [From.GetFirstName] из Дома [From.GetOnlyDynastyName];x;;;;;;;;;;;;;;;
EVTDESC20800452;Тёмные вести пришли со Стены, милорд: член вашей династии погиб в результате несчастного случая.;x;;;;;;;;;;;;;;;
EVTOPTA20800452;Да покоится он с миром.;x;;;;;;;;;;;;;;;
banish_prisoner;Отправить в Ночной Дозор;x;;;;;;;;;;;;;;;
banish_prisoner_desc;Заставить персонажа [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] надеть чёрное и отправить на Стену.;x;;;;;;;;;;;;;;;
banish_prisoner_named;Изгнать персонажа [Root.GetTitledFirstNameWithDynasty] в Ночной Дозор;x;;;;;;;;;;;;;;;
ask_liege_help;Попросить помощи сюзерена;x;;;;;;;;;;;;;;;
ask_liege_help_desc;Попросить вашего сюзерена о защите в оборонительной войне.;x;;;;;;;;;;;;;;;
EVTDESCinteraction.16;[Root.GetFirstNameWithDynasty], [From.GetFirstNameWithDynasty] был[From.GetEndA] заклеймен[From.GetEndA] как предатель[From.GetEndNitsa] за игнорирование моего приказа прекратить свои агрессивные войны. Как следствие, я предоставляю вам право на титул [From.PrimaryTitle.GetName].\n\n Подпись,\n[FromFrom.GetTitle] [FromFrom.GetFirstName] из Дома [FromFrom.GetOnlyDynastyName];x;;;;;;;;;;;;;;;
EVTOPTAinteraction.16;Это будет полезно!;x;;;;;;;;;;;;;;;
EVTDESCinteraction.17;[Root.PrimaryTitle.GetFOA], [From.GetTitle] [From.GetFirstName] заклеймил[From.GetEndA] вас как предателя за игнорирование приказа остановиться. Как следствие, вашему врагу была предоставлена претензия на титул [Root.PrimaryTitle.GetName].;x;;;;;;;;;;;;;;;
EVTOPTAinteraction.17;Прокльтье на твою голову!;x;;;;;;;;;;;;;;;
EVTTOOLTIPinteraction.10;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] получит приказ закончить свою войну;x;;;;;;;;;;;;;;;
EVTOPTBinteraction.6;Удалить с должности командующего;x;;;;;;;;;;;;;;;
EVTTOOLTIPinteraction.17;[This.GetTitledName] получит право на титул [Root.PrimaryTitle.GetName];x;;;;;;;;;;;;;;;
TOOLTIPinteraction.15A;предоставляется право на титул [Prev.PrimaryTitle.GetName]\n;x;;;;;;;;;;;;;;;
TOOLTIPEVTOPTCinteraction.5;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] назначается следующим Лордом-Командующим Королевской гвардиии\n;x;;;;;;;;;;;;;;;
EVTOPTCinteraction.5;Назначит в качестве следующего Лорда-Командующего;x;;;;;;;;;;;;;;;
TOOLTIPINTERACTIONPERSONAL;Возможны следующие действия:\n-Отправить дар\n-Отправить оскорбление\n-Посетить\n-Пожаловать рыцарство\n;x;;;;;;;;;;;;;;;
TOOLTIPINTERACTIONDIPLOMATIC;Возможны следующие действия:\n-Приказать знаменосцу прекратить\n-Назначить рыцаря в Королевскую гвардию\n-Назначить следующего Великого Септона\n-Пожаловать титул Верховного Лорда\n;x;;;;;;;;;;;;;;;
TOOLTIPINTERACTIONACTION;Возможны следующие действия:\n-Защита и Исцеление Р'глора\n-Подкупить советника на миссии\n-Сделать предложение о покупке раба\n-Столкнуться с драконом\n-Подаритьмеч\n;x;;;;;;;;;;;;;;;
scorch_the_land;Сожжённая Земля;x;;;;;;;;;;;;;;;
scorch_the_land_desc;Сжечь всё и изнасиловать женщин;x;;;;;;;;;;;;;;;
EVTDESCinteraction.18;[FromFrom.GetTitle] [FromFrom.GetFirstName] является справедливым и способным сюзереном, [FromFrom.GetSheHe] смог[FromFrom.GetNoneE] заставить персонажа [From.GetFirstNameWithDynasty] остановить свою войну и агрессию против нас.;x;;;;;;;;;;;;;;;
EVTOPTAinteraction.18;Я благодар[GetNaEn];x;;;;;;;;;;;;;;;
rhllor_action;Р'Глор: Список действий;x;;;;;;;;;;;;;;;
rhllor_action_desc;Вы принесли жертву Красному Богу, и поэтому можете принять меры против персонажа [Root.GetTitle] [Root.GetFirstNameWithDynasty].;x;;;;;;;;;;;;;;;
TOOLTIPinteraction.14;получит сведения;x;;;;;;;;;;;;;;;
EVTOPTBinteraction.10;Я не буду выполнять это;x;;;;;;;;;;;;;;;
EVTOPTDinteraction.10;[From.GetTitledFirstNameNoRegnal] не имеет права требовать это;x;;;;;;;;;;;;;;;
